machine_id,machine_type,temperature,vibration,pressure,rpm,humidity,power_draw,operating_hours,maintenance_gap_days,tool_wear,age_days,thermal_stress,mechanical_stress,energy_intensity,maintenance_urgency,anomaly_label,failure_within_7_days
M-00001,turbine,84.56,4.17,29.03,1353.12,50.05,234.17,18.68,14,69.84,331,0.829,3.624,0.173,1.956,0,0
M-00002,compressor,66.45,1.98,40.68,1272.71,43.01,290.14,21.31,43,30.47,749,-0.148,1.518,0.228,3.623,0,0
M-00003,turbine,46.6,2.57,37.33,1134.81,49.66,254.62,7.15,49,35.24,871,-1.073,1.742,0.224,3.115,0,0
M-00004,robotic_arm,56.33,2.63,21.15,1366.67,49.29,247.77,16.05,30,59.37,279,-0.591,2.586,0.181,2.396,0,0
M-00005,cnc,88.22,5.27,39.11,1607.2,63.45,415.22,19.62,15,20.28,783,1.145,3.6,0.258,2.43,0,0
M-00006,turbine,69.99,4.54,39.1,1485.46,41.34,205.33,14.31,49,27.94,208,0.013,3.18,0.138,2.992,0,0
M-00007,turbine,66.49,5.06,23.96,1730.9,20.6,436.5,6.62,58,47.38,755,-0.369,4.201,0.252,3.346,1,1
M-00008,turbine,90.43,1.62,15.87,1585.17,32.75,323.78,5.98,55,88.46,507,0.949,2.927,0.204,2.981,1,0
M-00009,cnc,86.65,2.12,30.57,1544.31,39.66,369.11,16.12,55,78.36,211,0.829,2.941,0.239,3.343,0,1
M-00010,compressor,74.24,5.13,37.73,1788.88,44.13,361.44,13.95,48,35.17,982,0.254,4.08,0.202,3.575,0,1
M-00011,compressor,71.07,0.31,40.55,1432.51,54.25,345.1,22.59,44,33.7,292,0.196,0.891,0.241,3.359,0,0
M-00012,turbine,72.68,5.91,25.78,1461.35,39.04,413.02,20.68,57,98.8,960,0.124,5.317,0.283,4.321,0,1
M-00013,robotic_arm,76.27,1.65,41.51,1447.94,37.47,234.64,18.47,21,67.07,495,0.288,2.316,0.162,2.361,0,0
M-00014,turbine,90.0,5.38,17.63,1727.88,40.85,294.84,23.65,55,70.13,849,1.008,4.83,0.171,4.326,1,1
M-00015,compressor,78.22,2.96,28.79,1450.45,38.61,249.56,17.89,3,10.24,874,0.397,1.903,0.172,1.922,0,0
M-00016,cnc,81.26,5.67,28.5,1333.31,45.35,194.75,5.85,50,14.97,562,0.616,3.322,0.146,2.819,0,0
M-00017,robotic_arm,85.69,8.69,37.91,1555.78,44.83,262.02,5.55,21,32.97,830,0.833,5.662,0.168,1.865,1,1
M-00018,cnc,62.3,1.02,38.79,1303.07,60.27,426.72,20.32,18,84.99,580,-0.182,2.121,0.327,2.422,0,0
M-00019,turbine,81.55,5.17,36.73,1546.02,40.13,293.72,11.21,41,91.51,762,0.579,4.884,0.19,2.948,0,1
M-00020,robotic_arm,71.05,1.67,22.9,1524.49,47.71,433.93,22.49,12,23.15,340,0.13,1.559,0.285,2.112,1,0
M-00021,turbine,48.84,4.8,36.18,1415.91,45.46,440.58,6.36,59,72.85,562,-1.003,4.118,0.311,3.21,1,1
M-00022,compressor,52.72,3.91,34.05,1551.85,61.71,499.68,7.98,44,88.04,242,-0.647,4.129,0.322,2.44,1,1
M-00023,turbine,63.82,4.38,20.97,1182.2,50.15,428.86,19.46,3,88.5,551,-0.208,3.869,0.363,1.747,0,1
M-00024,turbine,79.31,2.92,18.6,1479.33,64.61,458.28,20.95,51,48.59,107,0.712,2.693,0.31,3.386,1,1
M-00025,turbine,75.14,5.29,37.23,1366.7,38.17,326.14,21.34,8,29.58,544,0.239,3.455,0.239,2.054,0,0
M-00026,cnc,75.84,2.17,29.92,1965.21,51.41,319.84,5.98,49,95.85,1044,0.406,3.919,0.163,3.189,0,1
M-00027,compressor,93.51,5.94,23.29,1478.05,45.09,324.16,11.64,49,31.28,491,1.226,4.003,0.219,3.067,0,1
M-00028,cnc,61.31,3.63,29.75,1342.65,37.29,305.0,16.93,39,29.01,640,-0.462,2.493,0.227,3.109,0,0
M-00029,cnc,73.73,2.24,33.18,1201.91,51.19,314.73,22.38,36,24.54,1040,0.298,1.438,0.262,3.649,0,0
M-00030,robotic_arm,77.04,6.43,30.5,1684.97,72.8,353.89,8.78,50,55.59,93,0.68,5.057,0.21,2.604,0,1
M-00031,robotic_arm,66.64,4.11,21.69,1386.99,41.77,274.72,16.01,51,15.18,834,-0.15,2.543,0.198,3.695,0,0
M-00032,turbine,74.28,6.87,42.31,1307.56,50.47,215.45,6.87,43,59.22,677,0.319,4.831,0.165,2.696,0,1
M-00033,compressor,58.0,5.91,37.03,1510.53,36.25,328.64,18.95,11,94.65,470,-0.637,5.301,0.218,1.968,0,1
M-00034,compressor,88.1,3.08,28.99,1566.95,34.49,259.97,6.55,40,52.97,376,0.85,2.993,0.166,2.306,0,0
M-00035,compressor,67.18,4.08,29.23,1564.11,42.55,266.7,24.0,13,96.71,747,-0.115,4.413,0.171,2.582,0,1
M-00036,cnc,94.31,4.37,33.16,1453.56,46.6,295.72,5.85,4,91.04,564,1.282,4.301,0.203,0.981,0,1
M-00037,cnc,73.68,6.34,24.22,1478.65,47.13,280.81,17.71,10,80.27,528,0.255,5.203,0.19,1.902,0,1
M-00038,compressor,84.28,4.81,32.94,1491.77,49.29,377.15,19.54,28,62.77,836,0.807,4.033,0.253,2.989,0,1
M-00039,cnc,73.47,4.45,23.02,1510.55,32.22,294.16,9.16,57,88.66,533,0.096,4.377,0.195,3.274,0,1
M-00040,robotic_arm,73.69,3.92,30.58,1526.48,44.49,380.43,9.1,3,57.72,988,0.23,3.491,0.249,1.489,0,0
M-00041,compressor,68.16,4.13,23.99,1647.0,58.02,318.39,15.92,6,24.68,406,0.088,3.118,0.193,1.534,0,0
M-00042,turbine,75.19,6.03,24.29,1460.15,35.7,299.25,16.61,7,92.89,867,0.217,5.258,0.205,1.999,0,1
M-00043,robotic_arm,77.18,4.21,40.87,1302.98,47.74,315.28,18.41,13,52.71,715,0.436,3.228,0.242,2.22,0,0
M-00044,compressor,66.16,3.65,31.36,1424.03,55.51,221.04,15.61,33,91.24,1084,-0.037,3.865,0.155,3.16,0,0
M-00045,turbine,72.75,3.41,32.24,1585.68,42.61,326.98,7.49,49,42.35,534,0.164,2.988,0.206,2.854,0,0
M-00046,turbine,67.9,3.42,18.93,1128.42,56.1,360.2,22.48,4,36.89,350,0.056,2.234,0.319,1.801,0,0
M-00047,compressor,97.0,2.24,27.42,1129.46,33.75,369.41,7.33,48,77.77,532,1.287,2.399,0.327,2.803,1,1
M-00048,cnc,73.1,3.15,33.77,1615.29,62.66,217.11,15.3,54,65.27,824,0.382,3.345,0.134,3.765,0,0
M-00049,robotic_arm,89.45,6.3,32.16,1723.62,56.39,206.27,22.4,6,46.77,567,1.137,4.862,0.12,2.057,0,1
M-00050,cnc,72.04,3.91,18.08,1222.26,52.67,270.11,22.26,28,88.47,1077,0.229,3.666,0.221,3.353,0,1
M-00051,cnc,76.59,5.19,32.24,1468.08,65.5,395.0,7.36,49,54.07,263,0.585,4.031,0.269,2.621,0,1
M-00052,cnc,60.79,0.73,33.2,1378.08,48.05,319.36,8.77,42,6.22,432,-0.38,0.494,0.232,2.566,0,0
M-00053,turbine,69.53,5.0,38.7,1403.05,44.59,254.64,16.04,12,70.85,1181,0.022,4.169,0.181,2.426,0,0
M-00054,robotic_arm,76.11,3.97,27.07,1505.0,68.47,210.56,10.74,10,11.0,977,0.59,2.556,0.14,1.859,0,0
M-00055,robotic_arm,89.86,3.53,17.55,1217.28,74.09,260.54,18.62,27,50.7,175,1.334,2.692,0.214,2.343,1,0
M-00056,turbine,76.22,4.45,25.02,1250.7,43.68,256.15,14.45,51,23.25,1133,0.348,2.701,0.205,3.851,0,1
M-00057,compressor,87.84,3.51,24.42,1395.77,50.64,365.82,9.32,57,27.99,562,0.998,2.482,0.262,3.308,0,1
M-00058,robotic_arm,80.41,1.23,35.42,1423.83,64.54,370.82,12.22,29,98.08,804,0.766,2.67,0.26,2.563,0,0
M-00059,cnc,90.27,5.49,14.7,1247.33,51.06,236.76,17.82,32,15.78,108,1.124,3.118,0.19,2.439,1,1
M-00060,cnc,73.41,4.54,28.31,1592.14,59.14,353.96,19.7,34,76.98,272,0.362,4.311,0.222,2.769,0,1
M-00061,robotic_arm,97.9,3.76,39.55,1374.84,61.36,347.3,11.39,30,65.56,865,1.609,3.343,0.253,2.604,1,1
M-00062,compressor,69.15,2.85,31.04,1374.07,45.25,228.32,6.1,39,23.53,379,0.01,2.0,0.166,2.242,0,0
M-00063,robotic_arm,66.34,2.14,36.38,1500.88,57.03,299.55,11.07,17,93.86,220,-0.013,3.199,0.2,1.527,0,0
M-00064,turbine,61.9,4.51,21.15,1426.8,51.93,327.15,16.61,33,24.13,844,-0.286,3.003,0.229,3.02,0,0
M-00065,robotic_arm,97.31,6.46,21.39,1600.75,37.4,315.61,19.2,37,53.98,331,1.339,4.919,0.197,2.908,1,1
M-00066,robotic_arm,82.19,4.48,39.62,1281.98,40.12,193.81,21.59,34,80.1,1051,0.611,3.9,0.151,3.531,0,1
M-00067,robotic_arm,70.66,2.26,31.61,1198.47,44.17,313.53,23.24,58,77.54,288,0.075,2.508,0.262,3.954,0,0
M-00068,compressor,86.49,4.52,31.62,1394.24,63.14,346.36,14.59,45,35.37,116,1.056,3.183,0.248,2.772,0,1
M-00069,cnc,80.88,4.13,24.29,1460.84,63.54,407.67,21.6,44,84.73,523,0.779,4.05,0.279,3.492,0,1
M-00070,compressor,93.66,5.41,31.6,1226.66,61.0,261.53,9.24,48,96.4,452,1.393,4.656,0.213,2.851,0,1
M-00071,cnc,58.52,5.05,24.12,1200.2,57.28,269.55,15.19,32,50.03,798,-0.401,3.492,0.225,2.857,0,0
M-00072,compressor,71.35,0.02,38.12,1482.81,56.95,291.42,14.79,19,66.97,349,0.237,1.469,0.197,1.938,0,0
M-00073,turbine,69.37,4.96,47.37,1313.6,55.33,323.93,19.37,33,39.63,1178,0.122,3.399,0.247,3.464,0,1
M-00074,cnc,54.26,2.8,33.9,1188.55,56.89,311.31,19.46,55,38.64,558,-0.618,2.008,0.262,3.833,0,0
M-00075,cnc,84.6,2.21,27.19,1623.76,57.7,344.28,9.71,52,49.62,877,0.907,2.527,0.212,3.393,0,0
M-00076,cnc,71.3,3.94,15.8,1336.28,35.15,231.86,21.72,22,23.73,943,0.016,2.548,0.174,2.969,1,0
M-00077,cnc,81.4,4.78,20.89,1656.97,42.52,330.8,21.83,30,70.49,1071,0.595,4.403,0.2,3.402,0,1
M-00078,robotic_arm,97.6,1.9,40.33,1455.12,39.65,256.76,22.96,17,20.73,648,1.376,1.54,0.176,2.598,1,0
M-00079,robotic_arm,70.47,5.19,24.82,1503.06,65.29,295.68,13.15,2,5.49,342,0.276,3.11,0.197,1.154,0,0
M-00080,turbine,69.79,5.27,28.77,1411.93,71.85,416.02,23.75,20,46.75,665,0.308,3.85,0.295,2.779,0,1
M-00081,robotic_arm,75.19,4.27,34.93,972.07,25.97,214.11,19.7,7,12.26,562,0.119,1.98,0.22,1.93,0,0
M-00082,compressor,83.87,2.99,39.89,1245.38,70.78,286.83,17.06,22,58.43,766,1.001,2.59,0.23,2.542,0,0
M-00083,turbine,68.33,2.83,29.8,1427.37,53.04,222.15,12.65,5,54.44,352,0.047,2.684,0.156,1.252,0,0
M-00084,cnc,67.69,5.64,28.57,1515.65,64.15,314.95,20.85,20,18.04,662,0.126,3.626,0.208,2.603,0,0
M-00085,cnc,84.57,2.08,31.43,1127.86,58.08,373.14,19.28,43,28.37,1153,0.909,1.325,0.331,3.838,0,0
M-00086,cnc,77.79,5.69,27.23,1440.35,69.28,316.03,15.71,50,7.32,853,0.682,3.334,0.219,3.654,0,0
M-00087,robotic_arm,53.55,3.97,27.56,1247.99,54.52,297.41,23.94,53,61.43,1152,-0.677,3.194,0.238,4.517,0,0
M-00088,compressor,61.75,4.07,33.47,1492.23,35.64,391.35,8.99,34,32.82,208,-0.456,3.024,0.262,2.073,0,0
M-00089,cnc,89.01,1.81,32.11,1446.51,50.73,326.48,16.84,33,72.73,815,1.058,2.516,0.226,3.009,0,0
M-00090,compressor,78.02,3.99,43.79,1583.83,58.19,358.27,10.42,58,64.83,115,0.583,3.756,0.226,3.041,0,1
M-00091,cnc,66.38,5.06,33.63,1642.03,49.41,351.49,13.16,34,40.49,315,-0.087,3.938,0.214,2.412,0,1
M-00092,robotic_arm,72.3,2.33,37.91,1532.62,59.89,118.04,10.78,6,7.06,1007,0.314,1.612,0.077,1.726,0,0
M-00093,compressor,74.13,4.9,24.57,1604.87,51.21,300.02,10.69,56,35.42,202,0.319,3.695,0.187,3.05,0,1
M-00094,compressor,81.36,4.32,34.15,1386.94,44.85,234.93,11.54,37,35.86,621,0.616,3.077,0.169,2.69,0,0
M-00095,compressor,60.42,3.3,26.66,1958.16,38.97,251.09,5.13,40,36.61,167,-0.489,3.344,0.128,2.047,0,0
M-00096,robotic_arm,65.59,5.4,33.37,1230.61,47.3,400.85,4.8,7,95.58,421,-0.147,4.638,0.326,0.919,0,1
M-00097,compressor,76.73,1.12,35.13,1355.0,54.45,280.64,18.5,29,20.63,227,0.481,0.963,0.207,2.459,0,0
M-00098,cnc,73.0,4.69,31.3,1612.24,28.49,428.02,10.22,28,30.66,594,0.035,3.493,0.265,2.228,0,0
M-00099,cnc,79.72,6.47,45.44,1585.49,42.64,213.5,4.42,49,84.08,803,0.512,5.504,0.135,2.895,0,1
M-00100,turbine,61.7,6.22,39.57,1537.73,28.04,234.56,5.63,24,92.89,811,-0.534,5.473,0.153,1.974,0,1
M-00101,turbine,77.57,4.75,38.06,1571.56,44.6,354.55,7.92,21,49.49,1124,0.425,3.845,0.226,2.252,0,1
M-00102,robotic_arm,84.92,3.78,35.59,1074.96,66.37,282.81,4.96,41,56.3,225,1.009,2.739,0.263,2.125,0,0
M-00103,cnc,78.87,3.31,41.58,1736.07,37.77,324.98,22.92,2,10.02,534,0.421,2.501,0.187,1.9,0,0
M-00104,turbine,75.39,3.78,22.38,1413.3,60.44,297.7,15.37,45,81.76,671,0.474,3.731,0.211,3.281,0,1
M-00105,turbine,73.04,4.96,39.22,1674.26,86.19,295.73,11.88,2,61.48,185,0.614,4.35,0.177,0.947,0,0
M-00106,robotic_arm,65.65,3.07,25.05,1083.97,69.44,285.22,14.65,15,50.51,212,0.077,2.247,0.263,1.656,0,0
M-00107,compressor,73.28,5.26,27.61,1496.18,53.6,316.67,6.26,30,33.74,434,0.3,3.706,0.212,1.937,0,0
M-00108,cnc,86.6,7.19,34.37,1348.57,62.3,346.71,18.04,13,47.16,1044,1.053,4.822,0.257,2.472,1,1
M-00109,cnc,72.81,4.11,38.4,1552.98,35.56,409.94,23.39,4,74.85,740,0.096,3.978,0.264,2.18,0,1
M-00110,turbine,65.1,2.32,24.08,1507.07,33.12,291.84,6.61,26,12.67,714,-0.314,1.681,0.194,2.032,0,0
M-00111,compressor,69.08,2.32,27.92,1515.89,52.34,279.41,7.05,43,53.15,701,0.077,2.503,0.184,2.727,0,0
M-00112,cnc,76.01,5.29,31.59,1259.39,56.78,271.04,16.57,16,8.29,990,0.468,2.873,0.215,2.459,0,0
M-00113,compressor,70.26,4.12,29.88,1439.75,65.13,400.54,7.04,17,78.36,694,0.265,3.888,0.278,1.681,0,0
M-00114,robotic_arm,78.85,5.43,36.12,1417.57,45.17,349.87,6.52,41,25.05,890,0.494,3.511,0.247,2.773,0,0
M-00115,cnc,79.23,3.45,51.62,1539.16,54.32,181.56,17.41,56,90.82,433,0.605,3.914,0.118,3.645,0,1
M-00116,turbine,82.89,5.36,33.52,1628.07,53.91,178.7,16.37,32,50.23,994,0.784,4.28,0.11,3.091,0,1
M-00117,turbine,88.24,3.98,26.59,1477.09,50.42,251.05,8.35,34,48.44,125,1.016,3.267,0.17,1.965,0,0
M-00118,robotic_arm,83.96,3.17,23.22,1220.29,51.13,319.96,20.46,49,39.23,469,0.809,2.274,0.262,3.579,0,0
M-00119,compressor,64.66,3.64,29.05,1469.36,41.74,302.82,6.11,5,54.05,367,-0.25,3.181,0.206,0.872,0,0
M-00120,robotic_arm,64.96,2.52,25.36,1919.99,55.36,338.46,10.65,58,37.11,244,-0.098,2.873,0.176,3.162,0,0
M-00121,robotic_arm,73.24,6.99,33.81,1746.28,54.34,293.6,18.78,29,39.19,686,0.306,5.12,0.168,2.858,0,1
M-00122,robotic_arm,69.49,4.07,33.71,914.61,46.72,395.83,16.28,23,23.58,1079,0.042,2.014,0.433,2.796,0,0
M-00123,cnc,62.62,5.1,28.22,1461.4,59.99,355.19,16.0,37,37.8,270,-0.169,3.65,0.243,2.665,0,0
M-00124,compressor,69.58,3.45,42.91,1617.78,64.33,310.04,17.73,54,82.11,1071,0.222,3.85,0.192,4.116,0,1
M-00125,cnc,69.25,2.73,26.59,1417.18,60.13,379.45,16.93,56,28.34,1041,0.164,2.091,0.268,4.123,0,0
M-00126,compressor,67.28,3.87,30.28,1367.18,39.49,197.82,21.49,47,83.02,1070,-0.141,3.743,0.145,4.061,0,0
M-00127,compressor,70.84,5.74,34.83,1401.95,53.2,299.47,15.38,30,86.82,96,0.174,4.897,0.214,2.203,0,0
M-00128,cnc,85.78,3.47,36.35,1549.39,41.06,313.94,12.03,10,68.3,1188,0.8,3.488,0.203,2.112,0,0
M-00129,cnc,75.99,2.98,38.67,1243.28,53.16,344.13,19.32,13,7.91,564,0.431,1.574,0.277,2.149,0,0
M-00130,robotic_arm,98.72,4.42,33.57,1663.96,41.11,193.51,9.18,50,58.3,751,1.447,3.973,0.116,3.177,1,1
M-00131,cnc,75.71,4.9,37.31,1439.92,67.33,288.07,19.19,9,84.15,428,0.559,4.434,0.2,1.868,0,0
M-00132,turbine,71.1,6.5,27.01,1281.7,61.4,331.03,9.6,29,39.75,658,0.269,4.201,0.258,2.284,0,1
M-00133,robotic_arm,74.04,4.7,36.51,1652.38,65.84,336.02,13.61,25,31.87,700,0.46,3.58,0.203,2.4,0,0
M-00134,compressor,76.56,5.1,36.43,1171.88,64.62,382.1,18.78,43,35.53,975,0.574,3.191,0.326,3.66,0,1
M-00135,robotic_arm,78.35,5.21,40.08,1350.06,48.75,354.5,16.55,21,45.19,468,0.505,3.696,0.263,2.223,0,0
M-00136,cnc,94.77,2.59,20.99,1347.1,46.89,301.05,5.71,42,11.67,212,1.307,1.58,0.223,2.199,0,0
M-00137,turbine,65.55,2.85,25.56,1835.91,72.9,348.87,12.93,31,27.58,741,0.106,2.743,0.19,2.633,0,0
M-00138,compressor,82.59,2.68,35.94,1326.7,50.02,291.91,20.24,53,66.46,959,0.73,2.7,0.22,4.133,0,1
M-00139,turbine,76.08,2.33,15.09,1062.11,35.75,314.54,23.94,12,49.89,107,0.261,1.799,0.296,2.005,1,0
